conference,name,abbr,tradition,fanbase,donors,footprint,pipeline,momentum,rivals
ACC,Clemson,CLE,90,89,89,90,97,60,FSU:90
ACC,Duke,DUK,74,80,74,93,62,79,UNC:90
ACC,Florida State,FSU,89,93,89,94,88,60,CLE:90;MIA:60;FLA:60
ACC,Georgia Tech,GAT,74,78,76,90,73,78,MIA:90;UGA:60
ACC,Louisville,LOU,77,76,78,92,73,80,PIT:90
ACC,Miami,MIA,91,92,88,96,86,92,GAT:90;FSU:60;FLA:60
ACC,NC State,NCS,76,80,76,94,75,62,WFU:90
ACC,North Carolina,UNC,76,80,76,93,76,64,DUK:90
ACC,Pittsburgh,PIT,74,76,75,62,77,64,LOU:90;PSU:60
ACC,SMU,SMU,70,74,71,93,62,82,STA:90
ACC,Stanford,STA,59,62,57,92,49,48,SMU:90;CAL:60
ACC,Syracuse,SYR,78,77,75,62,62,60,BCO:90
ACC,Virginia,UVA,55,61,55,92,48,86,VAT:90
ACC,Virginia Tech,VAT,74,78,75,90,62,60,UVA:90
ACC,Wake Forest,WFU,55,58,56,91,50,81,NCS:90
Big 12,Arizona,ARI,74,78,76,64,65,80,ASU:90
Big 12,Arizona State,ASU,66,76,73,65,65,63,ARI:90
Big 12,Baylor,BAY,77,77,76,92,62,62,TCU:90
Big 12,BYU,BYU,70,76,74,64,77,88,UTA:90
Big 12,Cincinnati,CIN,75,76,78,71,62,60,WVU:90
Big 12,Colorado,COL,66,75,72,71,65,64,KSU:90
Big 12,Houston,HOU,74,80,78,94,61,89,UCF:90
Big 12,Iowa State,ISU,68,73,74,75,65,62,KAN:90
Big 12,Kansas,KAN,76,80,77,71,65,60,ISU:90
Big 12,Kansas State,KSU,84,85,84,73,74,64,COL:90
Big 12,Oklahoma State,OKS,74,76,75,71,63,63,TTU:90;OKL:60
Big 12,TCU,TCU,75,77,77,93,76,89,BAY:90
Big 12,Texas Tech,TTU,67,72,73,96,62,93,OKS:90
Big 12,UCF,UCF,78,79,75,97,64,64,HOU:90
Big 12,Utah,UTA,82,85,82,64,75,90,BYU:90
Big 12,West Virginia,WVU,76,79,76,75,62,63,CIN:90
American,Army,ARM,67,69,64,61,62,63,NAV:90
American,Charlotte,CLT,45,49,43,93,47,50,ECU:90
American,East Carolina,ECU,55,61,56,93,47,52,CLT:90
American,Florida Atlantic,FAU,46,46,44,97,51,49,USF:90
American,Memphis,MEM,67,70,63,90,76,60,TUL:90
American,Navy,NAV,67,72,62,61,63,86,ARM:90
American,North Texas,UNT,65,70,64,93,65,89,UTS:90
American,Rice,RIC,55,59,54,92,50,48,TLS:90
American,Temple,TEM,43,47,47,60,47,52,UAB:90
American,Tulane,TUL,64,72,65,91,77,89,MEM:90
American,Tulsa,TLS,42,50,45,73,47,48,RIC:90
American,UAB,UAB,55,61,55,91,50,50,TEM:90
American,USF,USF,55,62,55,98,49,51,FAU:90
American,UTSA,UTS,65,72,64,95,62,62,UNT:90
Conference USA,Delaware,DEL,44,50,43,58,51,52,MTS:90
Conference USA,FIU,FIU,42,46,44,98,47,49,LIB:90
Conference USA,Jacksonville State,JST,59,58,54,93,51,51,KST:90
Conference USA,Kennesaw State,KST,45,46,47,91,48,49,JST:90
Conference USA,Liberty,LIB,67,68,66,90,61,60,FIU:90
Conference USA,Middle Tennessee,MTS,58,60,57,91,47,51,DEL:90
Conference USA,Missouri State,MOS,44,47,43,74,51,49,NMS:90
Conference USA,New Mexico State,NMS,58,61,56,64,49,52,MOS:90
Conference USA,Sam Houston,SHS,59,60,55,94,50,52,WKU:90
Conference USA,WKU,WKU,57,61,56,91,47,52,SHS:90
Conference USA,Merrimack,MER,46,48,47,61,47,48,BEN:90
Conference USA,Bentley,BEN,45,50,46,58,50,49,MER:90
MAC,Akron,AKR,44,46,46,77,51,52,KEN:90
MAC,Ball State,BSU,45,47,44,80,48,52,MOH:90
MAC,Bowling Green,BGS,58,59,58,76,49,49,TOL:90
MAC,Buffalo,BUF,58,60,54,59,48,50,OHI:90
MAC,Central Michigan,CMU,43,49,43,78,50,50,WMU:90
MAC,Eastern Michigan,EMU,56,61,58,77,48,52,SAC:90
MAC,Kent State,KEN,44,49,47,79,49,52,AKR:90
MAC,Miami (Ohio),MOH,59,58,57,79,49,48,BSU:90
MAC,Ohio,OHI,58,59,56,80,48,48,BUF:90
MAC,Sacramento State,SAC,43,46,46,92,48,52,EMU:90
MAC,Toledo,TOL,58,59,55,80,47,50,BGS:90
MAC,UMass,UMA,43,47,47,62,47,50,UCN:90
MAC,Western Michigan,WMU,58,62,55,78,50,78,CMU:90
Mountain West,Air Force,AFA,55,62,58,66,47,48,WYO:90
Mountain West,Hawaii,HAW,57,58,56,68,48,80,NEV:90
Mountain West,Nevada,NEV,42,49,44,68,49,52,HAW:90
Mountain West,New Mexico,UNM,46,47,43,67,49,50,UTP:90
Mountain West,North Dakota State,NDS,63,68,65,74,73,63,NIU:90
Mountain West,Northern Illinois,NIU,56,60,55,78,61,48,NDS:90
Mountain West,San Jose State,SJS,58,62,54,93,50,51,UNL:90
Mountain West,UNLV,UNL,66,71,63,65,63,61,SJS:90
Mountain West,UTEP,UTP,46,47,44,93,49,51,UNM:90
Mountain West,Wyoming,WYO,55,62,54,64,50,52,AFA:90
Pac-12,Boise State,BOI,66,75,74,65,74,81,FRE:90
Pac-12,Colorado State,CSU,55,61,58,66,48,48,UST:90
Pac-12,Fresno State,FRE,63,70,65,89,65,64,BOI:90
Pac-12,Oregon State,ORS,63,72,63,74,64,61,WSU:90
Pac-12,San Diego State,SDS,57,62,55,92,49,50,TST:90
Pac-12,Texas State,TST,66,70,64,92,65,60,SDS:90
Pac-12,Utah State,UST,59,59,54,68,49,50,CSU:90
Pac-12,Washington State,WSU,65,72,62,71,65,63,ORS:90;WAS:60
Sun Belt,Appalachian State,APP,63,71,66,94,61,62,JMU:90
Sun Belt,Arkansas State,ARS,55,61,57,93,48,52,ULL:90
Sun Belt,Coastal Carolina,CCU,58,59,54,92,47,48,GSO:90
Sun Belt,Georgia Southern,GSO,59,60,56,91,50,51,CCU:90
Sun Belt,Georgia State,GST,56,62,55,94,49,48,ODU:90
Sun Belt,James Madison,JMU,65,70,63,93,77,87,APP:90
Sun Belt,Louisiana,ULL,56,62,54,90,49,48,ARS:90
Sun Belt,Louisiana Tech,LAT,55,59,57,92,47,51,SMI:90
Sun Belt,Marshall,MSH,56,59,56,91,47,51,ULM:90
Sun Belt,Old Dominion,ODU,58,61,56,92,50,52,GST:90
Sun Belt,South Alabama,USA,56,62,57,91,48,48,TRO:90
Sun Belt,Southern Miss,SMI,44,48,47,94,49,48,LAT:90
Sun Belt,Troy,TRO,56,62,57,90,48,50,USA:90
Sun Belt,ULM,ULM,43,50,45,94,50,52,MSH:90
Independents,Notre Dame,NDE,97,97,95,78,97,93,USC:90;MIC:60
Independents,UConn,UCN,43,47,44,58,50,50,UMA:90
