conference,name,abbr,programClass,region,pipelineClass,rivals
Sun Belt,Coastal Carolina,CCU,MID,SE,LIMITED,GSO:90
Sun Belt,Georgia Southern,GSO,MID,SE,LIMITED,CCU:90
Sun Belt,Georgia State,GST,MID,SE,LIMITED,ODU:90
Sun Belt,James Madison,JMU,ESTABLISHED_G5,SE,PRODUCER,APP:90
Sun Belt,Louisiana,ULL,MID,SE,LIMITED,ARS:90
Sun Belt,Louisiana Tech,LAT,MID,SE,LIMITED,SMI:90
Sun Belt,Marshall,MSH,MID,SE,LIMITED,ULM:90
Sun Belt,Old Dominion,ODU,MID,SE,LIMITED,GST:90
Sun Belt,South Alabama,USA,MID,SE,LIMITED,TRO:90
Sun Belt,Southern Miss,SMI,DEVELOPING,SE,LIMITED,LAT:90
Sun Belt,Troy,TRO,MID,SE,LIMITED,USA:90
Sun Belt,ULM,ULM,DEVELOPING,SE,LIMITED,MSH:90
Independents,Notre Dame,NDE,BLUE_BLOOD,MIDWEST,ELITE_FACTORY,USC:90;MIC:60
Independents,UConn,UCN,DEVELOPING,NORTHEAST,LIMITED,UMA:90
